produto,sigla_uf,mes,preco_medio,preco_minimo,preco_maximo
Gasolina,RJ,7,6.23454474899522324486111667,5.190000000000000000,7.990000000000000000
Gasolina,RJ,6,7.83133455590533315902234545,6.890000000000000000,8.990000000000000000
Gasolina,RJ,2,7.31178166263418532604005500,6.490000000000000000,7.990000000000000000
Gasolina,RJ,4,7.90291924463567486146491500,6.990000000000000000,8.510000000000000000
Gasolina,RJ,3,7.61358527084937481347255909,6.390000000000000000,8.390000000000000000
Gasolina,SP,3,6.65848739429005169879942857,5.570000000000000000,8.490000000000000000
Gasolina,SP,5,6.94196033846978404557927619,6.180000000000000000,8.590000000000000000
Gasolina,RJ,12,5.06072961903681968972852000,4.620000000000000000,5.890000000000000000
Gasolina,SP,1,6.37151056425959048413038095,5.480000000000000000,7.590000000000000000
Gasolina,SP,6,6.86273312247841335841667368,5.580000000000000000,8.890000000000000000
Gasolina,RJ,5,7.91863731674933825021619545,7.140000000000000000,8.990000000000000000
Gasolina,RJ,10,4.97774745060884834620564667,4.490000000000000000,5.690000000000000000
Gasolina,SP,11,4.91574614281540242134423333,4.190000000000000000,7.540000000000000000
Gasolina,SP,9,4.81471498051761651057797500,4.150000000000000000,6.990000000000000000
Gasolina,SP,12,4.85170231566202703757387143,4.090000000000000000,7.690000000000000000
Gasolina,RJ,8,5.58259525587349827733772857,4.890000000000000000,7.390000000000000000
Gasolina,RJ,9,5.20388903298200285287802727,4.490000000000000000,6.790000000000000000
Gasolina,RJ,1,7.21902811043440098224340526,6.490000000000000000,8.020000000000000000
Gasolina,SP,7,5.86015193306502541959983684,4.920000000000000000,7.990000000000000000
Gasolina,SP,2,6.33266754955416633779435789,5.570000000000000000,7.590000000000000000
Gasolina,RJ,11,5.08351095176853485163980500,4.390000000000000000,5.840000000000000000
Gasolina,SP,8,5.29414509022326922676906957,4.150000000000000000,6.990000000000000000
Gasolina,SP,4,6.92625738131657294161138095,6.090000000000000000,8.590000000000000000
Gasolina,SP,10,4.77718105684610595406321053,4.150000000000000000,7.340000000000000000
